,Unnamed: 0,Title,Year_x,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,Rank,Game,Month,Year_y,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
0,20,halflife 2,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,No Online Multiplayer,173,halflife 2,3,2020,475945,11281 hours,12877,45,2437,640,15,42.19
1,21,grand theft auto 5,2015,RockstarNorth,Modern;Action Adventure;Open-World,PC,96,7.7,Up to 32 ,2,grand theft auto 5,4,2021,239438984,2508876 hours,1105818,7043,211141,333016,3489,95.44
2,38,bioshock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,8.5,No Online Multiplayer,157,bioshock,7,2018,376598,6428 hours,25273,25,1616,506,8,58.59
3,56,portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,95,9.0,not specified,188,portal 2,1,2020,372182,13297 hours,28813,50,4032,500,17,27.99
4,71,the elder scrolls v skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.2,No Online Multiplayer,158,the elder scrolls v skyrim,4,2021,1090193,129131 hours,26371,319,14122,1516,179,8.44
5,72,mass effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,PC,94,8.8,No Online Multiplayer,116,mass effect 2,3,2017,279915,20499 hours,3732,74,2068,376,27,13.66
6,77,grand theft auto vice city,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,94,8.8,No Online Multiplayer,186,grand theft auto vice city,1,2019,357541,3906 hours,185209,23,718,481,5,91.54
7,84,bioshock infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,94,8.6,No Online Multiplayer,165,bioshock infinite,6,2020,630066,7682 hours,28179,32,1159,876,10,82.02
8,87,the elder scrolls iv oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.1,No Online Multiplayer,192,the elder scrolls iv oblivion,5,2020,556617,8292 hours,14510,32,898,749,11,67.13
9,96,diablo,1996,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,94,8.7,1-4 ,176,diablo,1,2018,256375,1522 hours,163460,10,162,345,2,168.45
10,107,the witcher 3 wild hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PC,93,9.3,No Online Multiplayer,178,the witcher 3 wild hunt,4,2021,904161,80352 hours,17776,241,8593,1257,111,11.25
11,117,divinity original sin 2,2017,LarianStudios,Action RPG;Role-Playing;Western-Style,PC,93,8.4,Online Multiplayer,129,divinity original sin 2,10,2020,984909,36421 hours,53588,118,3445,1325,49,27.04
12,126,minecraft,2009,MojangAB,Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,PC,93,7.5,Up to 10 ,7,minecraft,4,2021,79728626,3112654 hours,749947,8863,405918,110888,4329,25.61
13,131,grand theft auto 3,2002,"DMADesign,RockstarNorth",Action Adventure;Modern;Modern;Open-World,PC,93,8.3,No Online Multiplayer,159,grand theft auto 3,1,2016,216252,1118 hours,142392,22,222,291,1,193.43
14,151,star wars knights of the old republic,2003,BioWare,Role-Playing;Third-Person;Third-Person;General,PC,93,9.0,No Online Multiplayer,165,star wars knights of the old republic,1,2020,443175,4423 hours,19089,19,703,596,5,100.2
15,160,world of warcraft,2004,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,93,7.3,Massively Multiplayer,12,world of warcraft,4,2021,28935795,1174589 hours,155795,4942,61988,40244,1633,24.63
16,161,grand theft auto san andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93,8.9,No Online Multiplayer,178,grand theft auto san andreas,8,2020,601199,31718 hours,19600,81,4438,809,42,18.95
17,168,call of duty 4 modern warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,92,8.5,Up to 18 ,98,call of duty 4 modern warfare,11,2016,368013,12728 hours,24486,231,3334,511,17,28.91
18,195,team fortress 2,2007,ValveSoftware,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern,PC,92,9.1,Up to 32 ,189,team fortress 2,12,2018,296091,22150 hours,49331,72,4253,398,29,13.37
19,209,undertale,2015,tobyfox,Role-Playing;General;Japanese-Style,PC,92,8.3,No Online Multiplayer,134,undertale,2,2021,1084629,26015 hours,145487,87,5237,1616,38,41.69
20,254,dishonored,2012,ArkaneStudios,Action Adventure;Modern;General;Modern,PC,91,8.4,No Online Multiplayer,90,dishonored,11,2016,422756,14202 hours,12707,73,3466,587,19,29.77
21,263,overwatch,2016,BlizzardEntertainment,General;Action;Shooter;First-Person;Tactical,PC,91,6.7,Up to 12 ,30,overwatch,4,2021,12239978,803047 hours,71596,2220,84414,17023,1116,15.24
22,276,metal gearid v the phantom pain,2015,KojimaProductions,Action Adventure;Modern;Open-World,PC,91,7.8,Up to 16 ,187,metal gearid v the phantom pain,10,2017,168733,42262 hours,4864,149,10523,227,56,3.99
23,323,fallout 3,2008,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,91,7.9,No Online Multiplayer,198,fallout 3,6,2018,264366,11910 hours,11158,38,2273,367,16,22.2
24,324,batman arkham city,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,PC,91,8.7,not specified,139,batman arkham city,1,2017,325415,985 hours,166963,14,252,437,1,330.37
