,Unnamed: 0,Title,Year_x,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,Rank,Game,Month,Year_y,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
2,28,the orange box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,PC,96,9.2,16  Online,,,,,,,,,,,,
3,34,halflife,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,1-32 ,,,,,,,,,,,,
5,41,baldurs gate ii shadows of amn,2000,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,95,9.2,Up to 6 ,,,,,,,,,,,,
10,81,sid meiers civilization 2,1996,MPSLabs,Strategy;Turn-Based;Historic;General;Historic;4X,PC,94,8.9,1 Player,,,,,,,,,,,,
11,82,quake,1996,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,94,8.8,1-16 ,,,,,,,,,,,,
14,93,grim fandango,1998,LucasArts,Adventure;General;General;3D;Third-Person;Fantasy,PC,94,9.1,No Online Multiplayer,,,,,,,,,,,,
16,103,sid meiers civilization 4,2005,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,94,8.3,12  Online,,,,,,,,,,,,
18,110,company of heroes,2006,Relic,Strategy;Real-Time;Historic;General;Historic,PC,93,8.8,8  Online,,,,,,,,,,,,
20,118,unreal tournament 2004,2004,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,93,8.8,1-32 ,,,,,,,,,,,,
21,123,starcraft ii wings of liberty,2010,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Command,PC,93,8.2,Up to 4 ,,,,,,,,,,,,
24,133,homeworld,1999,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,93,8.9,1-8 ,,,,,,,,,,,,
29,181,warcraft iii reign of chaos,2002,BlizzardEntertainment,Strategy;Real-Time;Fantasy;General;Fantasy,PC,92,9.1,not specified,,,,,,,,,,,,
30,183,the sims,2000,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,92,7.9,1 Player,,,,,,,,,,,,
31,185,sid meiers gettysburg,1997,FiraxisGames,Strategy;Real-Time;Wargame;Real-Time;General,PC,92,7.4,1-8 ,,,,,,,,,,,,
32,191,world soccer winning eleven 7 international,2004,KCET,Sports;Traditional;Team;Soccer;Sim;Sim,PC,92,7.5,1-2 ,,,,,,,,,,,,
34,196,system shock 2,1999,"LookingGlassStudios,IrrationalGames",Action Adventure;Sci-Fi;Sci-Fi;Survival,PC,92,9.1,1 Player,,,,,,,,,,,,
35,197,tom clancys splinter cell chaos theory,2005,UbisoftMontreal,Action Adventure;Modern;General;Modern,PC,92,8.7,No Online Multiplayer,,,,,,,,,,,,
36,206,rome total war,2004,CreativeAssembly,Strategy;Real-Time;Historic;General;Historic,PC,92,9.1,8  Online,,,,,,,,,,,,
37,208,okami,2017,Capcom,Action Adventure;General,PC,92,7.6,No Online Multiplayer,,,,,,,,,,,,
39,215,thief the dark project,1998,LookingGlassStudios,Action Adventure;Fantasy;General;Fantasy,PC,92,9.0,1 Player,,,,,,,,,,,,
40,217,age of empires ii the age of kings,1999,EnsembleStudios,Strategy;Real-Time;Historic;Historic;Command,PC,92,9.0,No Online Multiplayer,,,,,,,,,,,,
41,221,unreal tournament 1999,1999,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,92,9.0,1-32 ,,,,,,,,,,,,
42,222,sid meiers alpha centauri,1999,FiraxisGames,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,92,9.0,not specified,,,,,,,,,,,,
43,224,galactic civilizations ii twilight of the arnor,2008,Stardock,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,92,8.4,1 Player,,,,,,,,,,,,
44,243,out of the park baseball 17,2016,OutOfTheParkDevelopments,Sports;Baseball;Sim;Team,PC,92,3.4,not specified,,,,,,,,,,,,
45,245,the witcher 3 wild hunt blood and wine,2016,CDProjektRedStudio,Role-Playing;Action RPG,PC,92,9.2,not specified,,,,,,,,,,,,
46,248,tiger woods pga tour 2003,2002,Headgate,Sports;Traditional;Individual;Golf;Sim;Sim,PC,92,5.0,1-8 ,,,,,,,,,,,,
48,256,medal of honor allied assault,2002,2015,Action;Shooter;Shooter;First-Person;Historic;Historic;Arcade,PC,91,8.6,not specified,,,,,,,,,,,,
49,257,myth the fallen lords,1997,"BungieSoftware,Bungie",Strategy;Real-Time;Fantasy;General;Fantasy,PC,91,8.7,1-16 ,,,,,,,,,,,,
50,260,world of warcraft wrath of the lich king,2008,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,91,7.6,Massively Multiplayer,,,,,,,,,,,,
52,264,f1 challenge 9902,2003,ElectronicArts,Driving;Racing;Formula One;Formula One,PC,91,8.0,1-8 ,,,,,,,,,,,,
53,267,baldurs gate,1998,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,91,8.9,Online Multiplayer,,,,,,,,,,,,
54,272,il2 sturmovik,2001,"1C,1CCompany",Simulation;Flight;WWII;WWII;Combat,PC,91,8.7,1-32 ,,,,,,,,,,,,
55,274,freespace 2,1999,VolitionInc.,Simulation;Sci-Fi;Space;Small Spaceship;Small Spaceship;Combat,PC,91,8.8,1-8 ,,,,,,,,,,,,
57,292,tom clancys splinter cell,2003,UbisoftMontreal,Action Adventure;Modern;General;Modern,PC,91,8.5,No Online Multiplayer,,,,,,,,,,,,
58,293,kentucky route zero act 3,2014,CardboardComputer,Adventure;General,PC,91,6.6,not specified,,,,,,,,,,,,
59,295,crysis,2007,Crytek,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,91,8.0,No Online Multiplayer,,,,,,,,,,,,
60,299,world of warcraft the burning crusade,2007,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,91,8.0,Massively Multiplayer,,,,,,,,,,,,
61,304,tiger woods pga tour 2005,2004,Headgate,Sports;Traditional;Individual;Golf;Sim;Sim,PC,91,4.5,1-8 ,,,,,,,,,,,,
62,307,the longest journey,2000,Funcom,Adventure;Third-Person;Point-and-Click;Fantasy;Fantasy,PC,91,8.8,1 Player,,,,,,,,,,,,
63,308,tony hawks pro skater 2,2000,NeversoftEntertainment,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,91,8.5,1-4 ,,,,,,,,,,,,
64,309,star wars jedi knight dark forces 2,1997,LucasArts,Action;Shooter;Shooter;First-Person;Sci-Fi;Arcade,PC,91,8.6,1-32 ,,,,,,,,,,,,
65,310,batman arkham asylum,2009,RocksteadyStudios,Action Adventure;Fantasy;General;Fantasy,PC,91,8.7,No Online Multiplayer,,,,,,,,,,,,
66,312,galactic civilizations ii dark avatar,2007,Stardock,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,91,8.3,1 Player,,,,,,,,,,,,
67,314,the operative no one lives forever,2000,MonolithProductions,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,91,8.8,1-16 ,,,,,,,,,,,,
68,317,battlefield 2,2005,DigitalIllusions,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,91,8.4,64  Online,,,,,,,,,,,,
69,322,street fighter 4,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,PC,91,7.9,2  Online,,,,,,,,,,,,
72,325,fez,2013,PolytronCorp.,Action;Platformer;Platformer;2D;2D,PC,91,6.7,1 Player,,,,,,,,,,,,
73,326,planescape torment,1999,BlackIsleStudios,Role-Playing;General;PC-style RPG;Western-Style,PC,91,9.2,No Online Multiplayer,,,,,,,,,,,,
74,330,neverwinter nights,2002,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,91,8.1,Online Multiplayer,,,,,,,,,,,,
75,333,no one lives forever 2 a spy in harms way,2002,MonolithProductions,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,91,8.7,not specified,,,,,,,,,,,,
76,336,dragon age origins,2009,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,91,8.7,No Online Multiplayer,,,,,,,,,,,,
79,351,call of duty,2003,InfinityWard,Action;Shooter;Shooter;First-Person;Third-Person;Historic;Tactical;Historic;Arcade,PC,91,8.5,1-32 ,,,,,,,,,,,,
80,352,madden nfl 2004,2003,EATiburon,Sports;Traditional;Team;Football;Sim;Sim,PC,91,7.7,1-8 ,,,,,,,,,,,,
81,358,the sims 2,2004,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,90,8.8,No Online Multiplayer,,,,,,,,,,,,
82,359,world of warcraft cataclysm,2010,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,90,5.6,Massively Multiplayer,,,,,,,,,,,,
83,370,world of goo,2008,2DBoy,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,PC,90,8.5,1-2 ,,,,,,,,,,,,
85,386,black white,2001,LionheadStudios,Strategy;Real-Time;Fantasy;General;Fantasy,PC,90,7.7,not specified,,,,,,,,,,,,
86,390,portal,2007,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,90,9.2,1 Player,,,,,,,,,,,,
87,395,nhl 2001,2000,EASports,Sports;Traditional;Team;Ice Hockey;Sim;Sim,PC,90,6.9,1-8 ,,,,,,,,,,,,
88,403,stephens sausage roll,2016,increpare,Puzzle;Action;General,PC,90,5.5,No Online Multiplayer,,,,,,,,,,,,
89,406,tony hawks pro skater 3,2002,GearboxSoftware,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,90,8.4,1-8 ,,,,,,,,,,,,
91,415,halflife 2 episode two,2007,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,90,9.2,1 Player,,,,,,,,,,,,
92,417,braid,2009,"NumberNoneInc.,KnockoutGames",Action;Platformer;Platformer;2D;2D,PC,90,8.6,1 Player,,,,,,,,,,,,
93,418,the chronicles of riddick escape from butcher bay developers cut,2004,Starbreeze,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,90,8.7,1 Player,,,,,,,,,,,,
94,425,sid meiers civilization 3,2001,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,90,8.4,1 Player,,,,,,,,,,,,
95,430,silent hunter 3,2005,Ubisoft,Simulation;Submarine;Submarine;Marine;Combat,PC,90,8.0,8  Online,,,,,,,,,,,,
