,appid,name,release_date,english,developer,publisher,platforms,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
0,220,halflife 2,2004-11-16,1,Valve,Valve,windows;mac;linux,0,33,67902,2419,691,402,10000000-20000000,7.19,173,halflife 2,3,2020,475945,11281 hours,12877,45,2437,640,15,42.19
1,440,team fortress 2,2007-10-10,1,Valve,Valve,windows;mac;linux,0,520,515879,34036,8495,623,20000000-50000000,0.0,189,team fortress 2,12,2018,296091,22150 hours,49331,72,4253,398,29,13.37
2,500,left 4 dead,2008-11-17,1,Valve,Valve,windows;mac,0,73,17951,948,897,278,5000000-10000000,7.19,168,left 4 dead,1,2017,265959,1143 hours,140433,18,405,357,1,232.69
3,550,left 4 dead 2,2009-11-19,1,Valve,Valve,windows;mac;linux,0,70,251789,8418,1615,566,10000000-20000000,7.19,182,left 4 dead 2,1,2021,662445,64943 hours,108971,227,14564,891,87,10.2
4,570,dota 2,2013-07-09,1,Valve,Valve,windows;mac;linux,0,0,863507,142079,23944,801,100000000-200000000,0.0,10,dota 2,4,2021,49785357,666178 hours,372593,1658,32754,69242,926,74.73
5,620,portal 2,2011-04-18,1,Valve,Valve,windows;mac;linux,0,51,138220,1891,1102,520,10000000-20000000,7.19,188,portal 2,1,2020,372182,13297 hours,28813,50,4032,500,17,27.99
6,730,counterstrike global offensive,2012-08-21,1,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,0,167,2644404,402313,22494,6502,50000000-100000000,0.0,8,counterstrike global offensive,4,2021,70072819,1464933 hours,421485,4173,158206,97458,2037,47.83
7,2360,hexen beyond heretic,2007-08-03,1,Raven Software,id Software,windows,0,0,249,26,50,50,200000-500000,2.99,180,hexen beyond heretic,7,2016,172767,99 hours,104627,5,22,232,0,1745.12
8,2600,vampire the masquerade bloodlines,2007-03-22,1,Troika Games,Activision,windows,0,0,6161,362,350,202,500000-1000000,14.99,162,vampire the masquerade bloodlines,12,2019,376315,1859 hours,13684,12,292,506,2,202.43
9,2630,call of duty 2,2006-10-13,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,0,2434,236,750,1041,200000-500000,14.99,180,call of duty 2,9,2017,186611,898 hours,34914,10,224,259,1,207.81
10,4000,garrys mod,2006-11-29,1,Facepunch Studios,Valve,windows;mac;linux,0,29,363721,16433,12422,1875,10000000-20000000,6.99,200,garrys mod,1,2021,562151,31882 hours,39103,134,6751,756,42,17.63
11,4720,condemned criminal origins,2012-10-29,1,Monolith,SEGA,windows,18,0,1243,221,312,312,200000-500000,9.99,171,condemned criminal origins,10,2016,156162,723 hours,9644,8,190,210,0,215.99
12,6030,star wars jedi knight ii jedi outcast,2009-09-16,1,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,windows;mac,0,0,2020,219,127,180,1000000-2000000,7.19,155,star wars jedi knight ii jedi outcast,2,2016,142993,277 hours,15523,5,66,205,0,516.22
13,6550,devil may cry 3,2007-06-12,1,"CAPCOM Co., Ltd.",Capcom,windows,0,0,1462,1052,90,90,200000-500000,15.99,179,devil may cry 3,3,2019,328558,2823 hours,16383,22,572,442,3,116.39
14,6850,hitman 2,2007-03-15,1,Io-Interactive A/S,Io-Interactive A/S,windows,16,0,1514,260,63,58,1000000-2000000,8.29,145,hitman 2,1,2021,1008432,15092 hours,13850,73,4688,1357,20,66.82
15,6860,hitman blood money,2007-03-15,1,Io-Interactive A/S,Io-Interactive A/S,windows,18,0,5864,391,435,365,1000000-2000000,9.29,199,hitman blood money,3,2016,93954,860 hours,19504,8,260,126,1,109.25
16,6910,deus ex,2007-03-29,1,Ion Storm,Square Enix,windows,16,0,6242,347,324,245,1000000-2000000,4.99,118,deus ex,7,2016,282652,574 hours,97131,9,92,380,0,492.43
17,7940,call of duty 4 modern warfare,2007-11-12,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,0,8725,821,1417,1503,1000000-2000000,19.99,98,call of duty 4 modern warfare,11,2016,368013,12728 hours,24486,231,3334,511,17,28.91
18,8500,eve online,2010-12-15,1,CCP,CCP,windows;mac,0,0,8317,2832,5123,230,1000000-2000000,0.0,159,eve online,11,2019,334773,14951 hours,15950,49,1131,465,20,22.39
19,8870,bioshock infinite,2013-03-25,1,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),2K;Aspyr (Mac),windows;mac;linux,18,80,79442,3846,614,519,2000000-5000000,19.99,165,bioshock infinite,6,2020,630066,7682 hours,28179,32,1159,876,10,82.02
20,8930,sid meiers civilization 5,2010-09-23,1,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),windows;mac;linux,0,286,129030,5565,4760,1797,5000000-10000000,19.99,164,sid meiers civilization 5,12,2019,371851,8503 hours,30032,37,1130,500,11,43.73
21,9050,doom 3,2007-08-03,1,id Software,id Software,windows,0,0,2633,376,362,394,200000-500000,0.0,172,doom 3,5,2016,116783,1981 hours,10092,14,584,157,2,58.95
22,10180,call of duty modern warfare 2,2009-11-11,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,50,30006,2826,999,580,5000000-10000000,19.99,188,call of duty modern warfare 2,5,2020,588453,27045 hours,35925,341,5939,791,36,21.76
23,12100,grand theft auto 3,2008-01-04,1,Rockstar Games,Rockstar Games,windows,18,0,4718,750,98,63,1000000-2000000,5.99,159,grand theft auto 3,1,2016,216252,1118 hours,142392,22,222,291,1,193.43
24,12110,grand theft auto vice city,2011-01-10,1,Rockstar Games,Rockstar Games,windows,18,0,9817,819,209,93,2000000-5000000,5.99,186,grand theft auto vice city,1,2019,357541,3906 hours,185209,23,718,481,5,91.54
25,12120,grand theft auto san andreas,2008-01-04,1,Rockstar Games,Rockstar Games,windows,18,0,26877,3243,807,249,2000000-5000000,9.99,178,grand theft auto san andreas,8,2020,601199,31718 hours,19600,81,4438,809,42,18.95
26,12200,bully scholarship edition,2008-10-21,1,Rockstar New England,Rockstar Games,windows,0,0,8504,1764,319,225,1000000-2000000,9.99,155,bully scholarship edition,7,2018,381789,1157 hours,23781,12,309,513,1,329.98
27,12810,overlord 2,2009-06-24,1,Triumph Studios;Virtual Programming,Codemasters,windows;mac;linux,0,0,2116,306,197,119,1000000-2000000,6.99,119,overlord 2,4,2016,203475,167 hours,17774,9,40,282,0,1218.41
28,13600,prince of persia the sands of time,2009-08-27,1,Kudosoft,Ubisoft,windows,0,0,831,122,167,167,200000-500000,8.59,196,prince of persia the sands of time,7,2017,220699,330 hours,142096,18,77,297,0,668.78
29,17410,mirrors edge,2009-01-14,1,DICE,Electronic Arts,windows,0,0,17880,2341,260,172,2000000-5000000,9.99,192,mirrors edge,7,2017,224860,901 hours,167641,13,328,302,1,249.57
30,17460,mass effect,2008-12-19,1,BioWare,Electronic Arts,windows,0,0,10107,666,612,633,1000000-2000000,7.99,195,mass effect,1,2019,330312,6650 hours,24724,23,816,444,8,49.67
31,17470,dead space,2009-01-09,1,EA Redwood Shores,Electronic Arts,windows,0,0,9136,1049,295,178,2000000-5000000,14.99,167,dead space,10,2017,210753,6757 hours,20788,45,1388,283,9,31.19
32,20510,stalker clear sky,2008-09-15,1,GSC Game World,GSC World Publishing,windows,0,0,5550,903,716,779,500000-1000000,7.99,181,stalker clear sky,10,2018,255110,1508 hours,16143,12,248,343,2,169.17
33,20900,the witcher,2008-09-16,1,CD PROJEKT RED,CD PROJEKT RED;1C-SoftClub,windows;mac,0,0,26380,4217,773,335,2000000-5000000,6.99,112,the witcher,1,2020,753880,27384 hours,28729,112,3708,1014,36,27.53
