,Rank,Game,Month,Year_x,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,Unnamed: 0,Title,Year_y,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
1,106,donkey kong country 2 diddys kong quest,1,2016,316101,993 hours,181740,28,218,425,1,318.33,,,,,,,,,
2,107,kirby 64 the crystal shards,1,2016,315368,209 hours,158893,16,58,424,0,1508.94,,,,,,,,,
3,113,halo 4,1,2016,302218,569 hours,135671,13,71,406,0,531.14,,,,,,,,,
4,114,kirby squeak squad,1,2016,299628,60 hours,156564,16,28,403,0,4993.8,,,,,,,,,
5,123,rayman legends,1,2016,282655,1101 hours,166452,26,666,380,1,256.73,,,,,,,,,
6,125,resident evil revelations 2,1,2016,279827,4202 hours,11689,17,2793,376,5,66.59,,,,,,,,,
7,126,the legend of zelda ocarina of time master quest,1,2016,278518,205 hours,159514,10,43,374,0,1358.62,,,,,,,,,
8,130,transformers devastation,1,2016,268643,896 hours,126800,12,322,361,1,299.82,,,,,,,,,
10,145,stepmania,1,2016,244450,2170 hours,210108,30,638,329,2,112.65,,,,,,,,,
12,150,fire emblem path of radiance,1,2016,235555,516 hours,122456,10,65,317,0,456.5,,,,,,,,,
13,151,mount your friends,1,2016,235451,1038 hours,39074,15,636,316,1,226.83,,,,,,,,,
14,152,the legend of zelda oracle of ages,1,2016,234228,182 hours,94932,8,37,315,0,1286.97,,,,,,,,,
15,158,hurtworld,1,2016,217722,13168 hours,14893,49,1728,293,17,16.53,,,,,,,,,
17,160,just cause 3,1,2016,216181,38144 hours,13047,146,11824,290,51,5.67,,,,,,,,,
18,162,tony hawks pro skater,1,2016,211450,159 hours,111383,10,37,284,0,1329.87,,,,,,,,,
19,165,mega man 2,1,2016,208756,1841 hours,150406,121,319,280,2,113.39,,,,,,,,,
20,166,move or die,1,2016,202884,1275 hours,32211,12,319,273,1,159.12,,,,,,,,,
21,168,super monkey ball banana blitz,1,2016,200365,27 hours,146882,14,26,269,0,7420.93,,,,,,,,,
22,169,tmnt,1,2016,198228,135 hours,132708,17,61,266,0,1468.36,,,,,,,,,
23,170,mike tysons punchout,1,2016,197881,307 hours,168929,30,105,266,0,644.56,,,,,,,,,
24,171,azure striker gunvolt,1,2016,197178,217 hours,135933,14,71,265,0,908.65,,,,,,,,,
25,172,mega man 10,1,2016,197038,141 hours,158783,29,55,265,0,1397.43,,,,,,,,,
26,175,pinball,1,2016,188826,926 hours,21566,14,121,254,1,203.92,,,,,,,,,
27,178,sonic advance,1,2016,185057,85 hours,110213,19,44,249,0,2177.14,,,,,,,,,
28,180,ninja gaiden iii the ancient ship of doom,1,2016,183550,122 hours,133273,16,36,247,0,1504.51,,,,,,,,,
29,184,iji,1,2016,179556,30 hours,91449,16,22,241,0,5985.2,,,,,,,,,
30,185,blast corps,1,2016,178810,42 hours,96318,18,25,240,0,4257.38,,,,,,,,,
32,193,mario kart 64,1,2016,173981,605 hours,186466,21,220,234,0,287.57,,,,,,,,,
33,196,brain age train your brain in minutes a day,1,2016,173011,19 hours,207721,14,21,232,0,9105.84,,,,,,,,,
37,99,apb reloaded,2,2016,277614,10747 hours,17386,37,1073,399,15,25.83,,,,,,,,,
40,130,digimon story cyber sleuth,2,2016,181711,9164 hours,7516,53,4416,261,13,19.83,,,,,,,,,
41,142,final fantasy12,2,2016,165497,1942 hours,1754,10,142,238,2,85.22,,,,,,,,,
43,153,risk factions,2,2016,151056,70 hours,46434,14,32,217,0,2157.94,,,,,,,,,
45,157,evoland 2,2,2016,142542,590 hours,8487,6,107,205,0,241.6,,,,,,,,,
46,161,the walking dead michonne,2,2016,138454,2551 hours,13955,118,1526,199,3,54.27,,,,,,,,,
47,165,mechwarrior online,2,2016,130316,8681 hours,29599,36,781,187,12,15.01,,,,,,,,,
48,166,armored warfare,2,2016,129391,11784 hours,1907,56,1233,186,16,10.98,,,,,,,,,
50,180,nekopara vol 2,2,2016,116412,498 hours,27734,13,135,167,0,233.76,,,,,,,,,
51,186,ben and ed,2,2016,111484,712 hours,33114,11,290,160,1,156.58,,,,,,,,,
52,187,naval action,2,2016,109813,8383 hours,1184,42,658,158,12,13.1,,,,,,,,,
53,194,rabiribi,2,2016,100594,2944 hours,17014,19,462,144,4,34.17,,,,,,,,,
54,196,construction simulator 2015,2,2016,99531,698 hours,38169,5,141,143,1,142.59,,,,,,,,,
55,89,bloodborne the old hunters,3,2016,331188,1531 hours,28286,12,624,445,2,216.32,,,,,,,,,
56,95,deponia doomsday,3,2016,298823,2096 hours,28013,36,320,402,2,142.57,,,,,,,,,
57,125,need for speed,3,2016,195144,12835 hours,28602,114,7280,262,17,15.2,,,,,,,,,
59,139,forced showdown,3,2016,168461,3033 hours,6181,25,398,226,4,55.54,,,,,,,,,
