,Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,appid,name,release_date,english,developer,publisher,platforms,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1,106,donkey kong country 2 diddys kong quest,1,2016,316101,993 hours,181740,28,218,425,1,318.33,,,,,,,,,,,,,,,
2,107,kirby 64 the crystal shards,1,2016,315368,209 hours,158893,16,58,424,0,1508.94,,,,,,,,,,,,,,,
3,113,halo 4,1,2016,302218,569 hours,135671,13,71,406,0,531.14,,,,,,,,,,,,,,,
4,114,kirby squeak squad,1,2016,299628,60 hours,156564,16,28,403,0,4993.8,,,,,,,,,,,,,,,
5,123,rayman legends,1,2016,282655,1101 hours,166452,26,666,380,1,256.73,,,,,,,,,,,,,,,
6,125,resident evil revelations 2,1,2016,279827,4202 hours,11689,17,2793,376,5,66.59,,,,,,,,,,,,,,,
7,126,the legend of zelda ocarina of time master quest,1,2016,278518,205 hours,159514,10,43,374,0,1358.62,,,,,,,,,,,,,,,
8,130,transformers devastation,1,2016,268643,896 hours,126800,12,322,361,1,299.82,,,,,,,,,,,,,,,
9,142,age of empires,1,2016,248884,232 hours,107455,18,40,334,0,1072.78,,,,,,,,,,,,,,,
10,145,stepmania,1,2016,244450,2170 hours,210108,30,638,329,2,112.65,,,,,,,,,,,,,,,
11,147,darksiders 2,1,2016,242099,752 hours,120528,11,502,325,1,321.94,,,,,,,,,,,,,,,
12,150,fire emblem path of radiance,1,2016,235555,516 hours,122456,10,65,317,0,456.5,,,,,,,,,,,,,,,
14,152,the legend of zelda oracle of ages,1,2016,234228,182 hours,94932,8,37,315,0,1286.97,,,,,,,,,,,,,,,
18,162,tony hawks pro skater,1,2016,211450,159 hours,111383,10,37,284,0,1329.87,,,,,,,,,,,,,,,
19,165,mega man 2,1,2016,208756,1841 hours,150406,121,319,280,2,113.39,,,,,,,,,,,,,,,
21,168,super monkey ball banana blitz,1,2016,200365,27 hours,146882,14,26,269,0,7420.93,,,,,,,,,,,,,,,
22,169,tmnt,1,2016,198228,135 hours,132708,17,61,266,0,1468.36,,,,,,,,,,,,,,,
23,170,mike tysons punchout,1,2016,197881,307 hours,168929,30,105,266,0,644.56,,,,,,,,,,,,,,,
25,172,mega man 10,1,2016,197038,141 hours,158783,29,55,265,0,1397.43,,,,,,,,,,,,,,,
27,178,sonic advance,1,2016,185057,85 hours,110213,19,44,249,0,2177.14,,,,,,,,,,,,,,,
28,180,ninja gaiden iii the ancient ship of doom,1,2016,183550,122 hours,133273,16,36,247,0,1504.51,,,,,,,,,,,,,,,
29,184,iji,1,2016,179556,30 hours,91449,16,22,241,0,5985.2,,,,,,,,,,,,,,,
30,185,blast corps,1,2016,178810,42 hours,96318,18,25,240,0,4257.38,,,,,,,,,,,,,,,
32,193,mario kart 64,1,2016,173981,605 hours,186466,21,220,234,0,287.57,,,,,,,,,,,,,,,
33,196,brain age train your brain in minutes a day,1,2016,173011,19 hours,207721,14,21,232,0,9105.84,,,,,,,,,,,,,,,
36,65,unravel,2,2016,540842,16720 hours,33485,202,5283,778,24,32.35,,,,,,,,,,,,,,,
40,130,digimon story cyber sleuth,2,2016,181711,9164 hours,7516,53,4416,261,13,19.83,,,,,,,,,,,,,,,
41,142,final fantasy12,2,2016,165497,1942 hours,1754,10,142,238,2,85.22,,,,,,,,,,,,,,,
46,161,the walking dead michonne,2,2016,138454,2551 hours,13955,118,1526,199,3,54.27,,,,,,,,,,,,,,,
47,165,mechwarrior online,2,2016,130316,8681 hours,29599,36,781,187,12,15.01,,,,,,,,,,,,,,,
55,89,bloodborne the old hunters,3,2016,331188,1531 hours,28286,12,624,445,2,216.32,,,,,,,,,,,,,,,
57,125,need for speed,3,2016,195144,12835 hours,28602,114,7280,262,17,15.2,,,,,,,,,,,,,,,
60,162,plants vs zombies garden warfare 2,3,2016,145582,9430 hours,2642,47,3679,195,12,15.44,,,,,,,,,,,,,,,
61,165,metal gearid 4 guns of the patriots,3,2016,138873,325 hours,2418,4,24,186,0,427.3,,,,,,,,,,,,,,,
62,176,mlb 15 the show,3,2016,116479,1497 hours,10762,14,1130,156,2,77.81,,,,,,,,,,,,,,,
66,197,metal gearid peace walker,3,2016,96201,312 hours,1490,5,25,129,0,308.34,,,,,,,,,,,,,,,
68,200,ultra street fighter 4,3,2016,93937,969 hours,23183,8,409,126,1,96.94,,,,,,,,,,,,,,,
70,53,ratchet clank,4,2016,780678,10301 hours,28323,117,8850,1085,14,75.79,,,,,,,,,,,,,,,
71,94,slither,4,2016,309057,9262 hours,31516,54,3276,429,12,33.37,,,,,,,,,,,,,,,
74,113,mario party 10,4,2016,221591,154 hours,19830,6,53,308,0,1438.9,,,,,,,,,,,,,,,
