,appid,Game,st_release_date,st_english,st_developer,st_publisher,st_achievements,st_positive_ratings,st_negative_ratings,st_average_playtime,st_median_playtime,st_owners,st_price,st_spy_action,st_spy_adventure,st_spy_casual,st_spy_indie,st_spy_simulation,st_spy_singleplayer,st_spy_strategy
0,10,counterstrike,2000-11-01,1,Valve,Valve,0,124534,3339,17612,317,10000000-20000000,7.19,2681,0,0,0,0,0,329
1,20,team fortress classic,1999-04-01,1,Valve,Valve,0,3318,633,277,62,5000000-10000000,3.99,208,15,0,0,0,0,0
2,30,day of defeat,2003-05-01,1,Valve,Valve,0,3416,398,187,34,5000000-10000000,3.99,99,0,0,0,0,16,0
3,40,deathmatch classic,2001-06-01,1,Valve,Valve,0,1273,267,258,184,5000000-10000000,3.99,85,0,0,0,0,0,0
4,50,halflife opposing force,1999-11-01,1,Gearbox Software,Valve,0,5250,288,624,415,5000000-10000000,3.99,211,87,0,0,0,148,0
5,60,ricochet,2000-11-01,1,Valve,Valve,0,2758,684,175,10,5000000-10000000,3.99,108,0,0,0,0,0,0
6,70,halflife,1998-11-08,1,Valve,Valve,0,27755,1100,1300,83,5000000-10000000,7.19,766,306,0,0,0,518,0
7,80,counterstrike condition zero,2004-03-01,1,Valve,Valve,0,12120,1439,427,43,10000000-20000000,7.19,377,40,0,0,14,171,85
8,130,halflife blue shift,2001-06-01,1,Gearbox Software,Valve,0,3822,420,361,205,5000000-10000000,3.99,187,66,0,0,0,136,0
9,220,halflife 2,2004-11-16,1,Valve,Valve,33,67902,2419,691,402,10000000-20000000,7.19,1761,937,0,0,0,1315,0
10,240,counterstrike source,2004-11-01,1,Valve,Valve,147,76640,3497,6842,400,10000000-20000000,7.19,1785,0,0,0,174,250,329
11,280,halflife source,2004-06-01,1,Valve,Valve,0,3767,1053,190,214,2000000-5000000,0.0,186,68,0,0,0,128,0
12,300,day of defeat source,2010-07-12,1,Valve,Valve,54,10489,1210,1356,134,5000000-10000000,7.19,224,0,0,0,20,0,30
13,320,halflife 2 deathmatch,2004-11-01,1,Valve,Valve,0,6020,787,311,32,10000000-20000000,3.99,199,14,0,0,0,0,0
14,340,halflife 2 lost coast,2005-10-27,1,Valve,Valve,0,5783,1020,46,29,10000000-20000000,0.0,208,67,0,0,0,155,0
15,360,halflife deathmatch source,2006-05-01,1,Valve,Valve,0,1362,473,102,81,5000000-10000000,0.0,101,0,0,0,0,0,0
16,380,halflife 2 episode one,2006-06-01,1,Valve,Valve,13,7908,517,281,184,5000000-10000000,5.79,354,165,0,0,0,264,0
