appid,genre
10,action
10,fps
10,first_person
10,multiplayer
10,shooter
10,strategy
10,survival
20,action
20,adventure
20,co_op
20,fps
20,first_person
20,funny
20,multiplayer
20,shooter
30,action
30,co_op
30,fps
30,first_person
30,multiplayer
30,shooter
30,singleplayer
50,action
50,adventure
50,atmospheric
50,co_op
50,fps
50,first_person
50,great_soundtrack
50,sci_fi
50,shooter
50,singleplayer
50,story_rich
70,action
70,adventure
70,atmospheric
70,difficult
70,fps
70,first_person
70,great_soundtrack
70,multiplayer
70,sci_fi
70,shooter
70,singleplayer
70,story_rich
80,action
80,adventure
80,atmospheric
80,fps
80,first_person
80,multiplayer
80,open_world
80,shooter
80,simulation
80,singleplayer
80,strategy
80,survival
130,action
130,adventure
130,atmospheric
130,fps
130,first_person
130,great_soundtrack
130,sci_fi
130,shooter
130,singleplayer
130,story_rich
220,action
220,adventure
220,atmospheric
220,fps
220,first_person
220,great_soundtrack
220,multiplayer
220,sci_fi
220,shooter
220,singleplayer
220,story_rich
240,action
240,atmospheric
240,difficult
240,fps
240,first_person
240,multiplayer
240,sandbox
240,shooter
240,simulation
240,singleplayer
240,strategy
240,survival
300,action
300,fps
300,first_person
300,multiplayer
300,shooter
300,simulation
300,strategy
320,action
320,adventure
320,atmospheric
320,co_op
320,fps
320,first_person
320,funny
320,multiplayer
320,sci_fi
320,shooter
340,action
340,adventure
340,atmospheric
340,fps
340,first_person
340,great_soundtrack
340,multiplayer
340,sci_fi
340,shooter
340,singleplayer
340,story_rich
380,action
380,adventure
380,atmospheric
380,fps
380,first_person
380,great_soundtrack
380,sci_fi
380,shooter
380,singleplayer
380,story_rich
400,action
400,adventure
400,atmospheric
400,fps
400,first_person
400,funny
400,great_soundtrack
400,sci_fi
400,singleplayer
400,story_rich
400,strategy
420,action
420,adventure
420,atmospheric
420,fps
420,first_person
420,great_soundtrack
420,multiplayer
420,sci_fi
420,shooter
420,singleplayer
420,story_rich
440,action
440,co_op
440,fps
440,first_person
440,funny
440,multiplayer
440,shooter
500,action
500,adventure
500,atmospheric
500,co_op
500,fps
500,first_person
500,multiplayer
500,shooter
500,singleplayer
500,survival
550,action
550,adventure
550,co_op
550,fps
550,first_person
550,multiplayer
550,shooter
550,singleplayer
550,survival
570,action
570,co_op
570,difficult
570,multiplayer
570,rpg
570,simulation
570,strategy
620,action
620,adventure
620,atmospheric
620,co_op
620,fps
620,first_person
620,funny
620,multiplayer
620,sci_fi
620,singleplayer
620,story_rich
620,strategy
630,action
630,adventure
630,co_op
630,multiplayer
630,sci_fi
630,shooter
630,singleplayer
630,strategy
630,survival
630,third_person
730,action
730,co_op
730,difficult
730,fps
730,first_person
730,multiplayer
730,shooter
730,strategy
1250,action
1250,adventure
1250,co_op
1250,difficult
1250,fps
1250,first_person
1250,great_soundtrack
1250,multiplayer
1250,shooter
1250,singleplayer
1250,survival
1840,action
1840,difficult
1840,first_person
1840,funny
1840,great_soundtrack
1840,multiplayer
1840,sandbox
1840,singleplayer
2600,action
2600,adventure
2600,atmospheric
2600,first_person
2600,great_soundtrack
2600,rpg
2600,singleplayer
2600,story_rich
2600,third_person
3830,action
3830,adventure
3830,funny
3830,great_soundtrack
3830,indie
3830,singleplayer
3830,story_rich
3830,third_person
4000,action
4000,adventure
4000,co_op
4000,fps
4000,first_person
4000,funny
4000,indie
4000,multiplayer
4000,sandbox
4000,shooter
4000,simulation
4000,singleplayer
4500,action
4500,adventure
4500,atmospheric
4500,difficult
4500,fps
4500,first_person
4500,open_world
4500,rpg
4500,sci_fi
4500,shooter
4500,singleplayer
4500,survival
4920,action
4920,adventure
4920,atmospheric
4920,co_op
4920,fps
4920,first_person
4920,indie
4920,multiplayer
4920,sci_fi
